"unique_key","created_date","closed_date","complaint_type","descriptor","borough","incident_zip","status","latitude","longitude"
"70036467","2026-08-12T01:57:51.000",,"Illegal Parking","Commercial Overnight Parking","QUEENS","11368","In Progress","40.75289490801998","-73.85463113443659"
"70029212","2026-08-12T01:57:08.000",,"Street Condition","Pothole","MANHATTAN","10007","Open","40.71438397050371","-74.01012910268898"
"70026869","2026-08-12T01:56:51.000",,"Blocked Driveway","No Access","BROOKLYN","11206","In Progress","40.69238463383555","-73.94862113773193"
"70034615","2026-08-12T01:55:51.000",,"Homeless Person Assistance","Non-Chronic","QUEENS",,"In Progress","40.746322460004016","-73.89640479001942"
"70035157","2026-08-12T01:55:26.000","2026-08-12T01:55:26.000","Street Condition","Pothole","BROOKLYN","11239","Closed",,
"70034934","2026-08-12T01:55:04.000",,"Noise - Street/Sidewalk","Loud Music/Party","STATEN ISLAND","10309","In Progress","40.53115473960046","-74.22235190639806"
"70037752","2026-08-12T01:53:40.000",,"Noise - Street/Sidewalk","Loud Music/Party","BROOKLYN","11249","In Progress","40.70446763025075","-73.9645894802074"
"70037005","2026-08-12T01:53:32.000",,"Noise - Residential","Loud Music/Party","BRONX","10466","In Progress","40.886904034430316","-73.8643524550128"
"70036281","2026-08-12T01:53:29.000",,"Noise - Residential","Loud Music/Party","BROOKLYN","11212","In Progress","40.66456698813642","-73.90615227618277"
"70032494","2026-08-12T01:52:36.000",,"Noise - Residential","Banging/Pounding","BRONX","10466","In Progress","40.886904034430316","-73.8643524550128"
"70034767","2026-08-12T01:52:36.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11421","In Progress","40.69381597828006","-73.86302517659573"
"70027434","2026-08-12T01:51:59.000",,"Noise - Residential","Loud Music/Party","QUEENS","11101","In Progress","40.755857262674326","-73.94300275719418"
"70036486","2026-08-12T01:51:50.000",,"Noise - Street/Sidewalk","Loud Music/Party","STATEN ISLAND","10309","In Progress","40.52704887431423","-74.20748209624585"
"70031037","2026-08-12T01:50:21.000",,"Noise - Residential","Banging/Pounding","BRONX","10462","In Progress","40.851683091061616","-73.86586292660624"
"70033333","2026-08-12T01:50:07.000",,"Blocked Driveway","No Access","QUEENS","11378","In Progress","40.7278134288262","-73.89216173895343"
"70036310","2026-08-12T01:49:58.000",,"Illegal Fireworks","N/A","QUEENS","11691","In Progress","40.597775053771","-73.76432961347523"
"70034933","2026-08-12T01:49:40.000",,"Noise - Street/Sidewalk","Loud Music/Party","STATEN ISLAND","10309","In Progress","40.529412028768085","-74.2193675785591"
"70031960","2026-08-12T01:49:36.000","2026-08-12T02:02:45.000","Noise - Residential","Loud Music/Party","STATEN ISLAND","10309","Closed","40.52176844885454","-74.21461264097444"
"70027426","2026-08-12T01:48:32.000",,"Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","10026","In Progress","40.79884859459583","-73.95002703156024"
"70029495","2026-08-12T01:48:11.000",,"Noise","Construction","BROOKLYN","11212","In Progress","40.66902950799216","-73.91249401369292"
"70036212","2026-08-12T01:47:34.000",,"Rodent","Mouse Sighting","MANHATTAN","10019","In Progress","40.76350376516814","-73.98702244325787"
"70033286","2026-08-12T01:47:18.000",,"Noise - Residential","Banging/Pounding","MANHATTAN","10001","In Progress","40.74965725327792","-74.00095642217364"
"70037982","2026-08-12T01:46:43.000",,"Noise - Residential","Loud Music/Party","MANHATTAN","10024","In Progress","40.78781427494328","-73.97325177674234"
"70033455","2026-08-12T01:46:39.000","2026-08-12T02:02:46.000","Noise - Residential","Loud Music/Party","STATEN ISLAND","10309","Closed","40.52176844885454","-74.21461264097444"
"70030287","2026-08-12T01:45:39.000",,"Noise - Residential","Loud Talking","MANHATTAN","10002","In Progress","40.71536188445696","-73.97643722572816"
"70034126","2026-08-12T01:44:21.000",,"Street Condition","Cave-in","MANHATTAN","10065","In Progress","40.76718457129881","-73.96246950211095"
"70029635","2026-08-12T01:43:29.000",,"Noise - Residential","Banging/Pounding","BROOKLYN","11212","In Progress","40.6601091263699","-73.92431699633231"
"70031824","2026-08-12T01:43:19.000","2026-08-12T01:56:32.000","Blocked Driveway","No Access","QUEENS","11433","Closed","40.705636405418275","-73.79094495556758"
"70034736","2026-08-12T01:42:43.000",,"Noise - Residential","Loud Talking","BROOKLYN","11207","In Progress","40.66180110434489","-73.88311330593771"
"70037876","2026-08-12T01:42:19.000",,"Noise - Street/Sidewalk","Loud Music/Party","QUEENS","11373","In Progress","40.74683207662071","-73.88952165378473"
"70037102","2026-08-12T01:42:14.000",,"Noise - Residential","Banging/Pounding","BROOKLYN","11203","In Progress","40.64962234512845","-73.94554765354334"
"70031242","2026-08-12T01:41:53.000",,"Illegal Parking","Posted Parking Sign Violation","BROOKLYN","11201","In Progress","40.691902737628915","-73.97827015919647"
"70037879","2026-08-12T01:41:46.000",,"Blocked Driveway","No Access","QUEENS","11368","In Progress","40.73997552965776","-73.85696162224511"
"70032478","2026-08-12T01:40:48.000",,"Noise - Residential","Loud Music/Party","BRONX","10465","In Progress","40.8421901206874","-73.8219627201558"
"70035434","2026-08-12T01:40:26.000",,"Noise - Residential","Loud Music/Party","BRONX","10474","In Progress","40.81258619692701","-73.887906068052"
"70035650","2026-08-12T01:39:50.000",,"Blocked Driveway","No Access","BROOKLYN","11218","In Progress","40.64961012007166","-73.97305132015948"
"70037877","2026-08-12T01:39:48.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11368","In Progress","40.74169353040562","-73.86590754309428"
"70031159","2026-08-12T01:38:47.000",,"Noise - Residential","Banging/Pounding","BROOKLYN","11225","In Progress","40.664941082626854","-73.9590630507052"
"70029559","2026-08-12T01:38:12.000",,"Illegal Parking","Blocked Hydrant","BRONX","10461","In Progress","40.85323007306054","-73.85811698057422"
"70032587","2026-08-12T01:38:12.000",,"Illegal Parking","Blocked Hydrant","BROOKLYN","11234","In Progress","40.62181362589819","-73.91991526880949"
"70037052","2026-08-12T01:37:33.000",,"Encampment","N/A","BROOKLYN","11235","In Progress","40.58560004122688","-73.95166271772095"
"70026603","2026-08-12T01:37:31.000",,"Noise - Residential","Banging/Pounding","BRONX","10474","In Progress","40.81267954196069","-73.8879311987608"
"70033623","2026-08-12T01:37:28.000",,"Dirty Condition","Trash","BRONX","10461","In Progress","40.852639799650426","-73.82775808825114"
"70031786","2026-08-12T01:37:13.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70033285","2026-08-12T01:35:45.000",,"Noise - Residential","Banging/Pounding","MANHATTAN","10001","In Progress","40.748177830237246","-74.0013389613079"
"70026734","2026-08-12T01:35:14.000","2026-08-12T01:44:22.000","Noise - Residential","Loud Music/Party","BROOKLYN","11234","Closed","40.61398656605138","-73.90347160500738"
"70031146","2026-08-12T01:35:08.000","2026-08-12T01:59:33.000","Noise - Residential","Loud Music/Party","BROOKLYN","11236","Closed","40.645255265807336","-73.89718871806647"
"70033330","2026-08-12T01:34:34.000",,"Illegal Parking","Posted Parking Sign Violation","QUEENS","11385","In Progress","40.69838844012318","-73.89390793335485"
"70032676","2026-08-12T01:34:27.000",,"Illegal Parking","Posted Parking Sign Violation","BROOKLYN","11218","In Progress","40.64962932256491","-73.9730044639211"
"70038048","2026-08-12T01:33:59.000",,"Litter Basket Request","Replacement Basket","BRONX","10461","In Progress","40.852639799650426","-73.82775808825114"
"70028801","2026-08-12T01:33:43.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70028367","2026-08-12T01:33:38.000",,"Consumer Complaint","Tow Truck Company","QUEENS","11412","In Progress","40.690795828301326","-73.76019653610967"
"70028825","2026-08-12T01:33:31.000",,"Noise - Residential","Loud Music/Party","QUEENS","11419","In Progress","40.69268162067444","-73.82054088357793"
"70037829","2026-08-12T01:33:26.000",,"Noise - Street/Sidewalk","Loud Talking","QUEENS","11419","In Progress","40.68724887158722","-73.81311680088555"
"70036151","2026-08-12T01:32:19.000",,"Homeless Person Assistance","Non-Chronic","BROOKLYN","11235","In Progress","40.58083986592365","-73.93871329743655"
"70028044","2026-08-12T01:32:13.000",,"Noise","Construction","BROOKLYN","11212","In Progress","40.66902950799216","-73.91249401369292"
"70028910","2026-08-12T01:31:52.000",,"Noise - Commercial","Loud Music/Party","QUEENS","11368","In Progress","40.744469650561605","-73.85553008096146"
"70033346","2026-08-12T01:31:49.000","2026-08-12T01:56:32.000","Illegal Parking","Blocked Hydrant","QUEENS","11385","Closed","40.70222288301098","-73.87733683062822"
"70036346","2026-08-12T01:31:27.000",,"Illegal Parking","Commercial Overnight Parking","QUEENS","11378","In Progress","40.72043674852333","-73.90279433252145"
"70036294","2026-08-12T01:31:13.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70034036","2026-08-12T01:30:45.000",,"Noise - Street/Sidewalk","Loud Talking","BROOKLYN","11224","In Progress","40.574124815216116","-73.98381954817258"
"70030580","2026-08-12T01:29:56.000",,"Litter Basket Complaint","Overflowing","BRONX","10461","In Progress","40.852639799650426","-73.82775808825114"
"70037804","2026-08-12T01:29:25.000",,"Illegal Parking","Unauthorized Bus Layover","QUEENS","11385","In Progress","40.69838844012318","-73.89390793335485"
"70031859","2026-08-12T01:29:09.000",,"Illegal Parking","Blocked Crosswalk","QUEENS","11367","In Progress","40.7395557001441","-73.82342059475569"
"70032868","2026-08-12T01:28:38.000",,"Indoor Air Quality","Chemical Vapors/Gases/Odors","MANHATTAN","10038","In Progress","40.70975926855198","-74.00717428327924"
"70036293","2026-08-12T01:28:03.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70031811","2026-08-12T01:25:53.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11421","In Progress","40.689524878582745","-73.85115258331557"
"70028126","2026-08-12T01:25:25.000","2026-08-12T02:03:15.000","Noise - Street/Sidewalk","Loud Talking","BRONX","10468","Closed","40.86867041379027","-73.89241057417647"
"70037956","2026-08-12T01:24:35.000","2026-08-12T01:38:10.000","Noise - House of Worship","Loud Music/Party","STATEN ISLAND","10309","Closed","40.52464541104073","-74.23136952235009"
"70030517","2026-08-12T01:24:33.000",,"Noise - Vehicle","Car/Truck Music","MANHATTAN","10031","In Progress","40.82467381311749","-73.95032198607514"
"70031961","2026-08-12T01:23:58.000","2026-08-12T02:02:57.000","Noise - Residential","Loud Music/Party","STATEN ISLAND","10309","Closed","40.52148484728936","-74.21361540809414"
"70029636","2026-08-12T01:23:43.000",,"Blocked Driveway","Partial Access","BROOKLYN","11210","In Progress","40.637512072372516","-73.93949716235188"
"70031222","2026-08-12T01:22:30.000",,"Noise - Street/Sidewalk","Loud Music/Party","BROOKLYN","11216","In Progress","40.67050959439419","-73.9504512322718"
"70037278","2026-08-12T01:21:58.000",,"Lost Property","Bag/Wallet","MANHATTAN","10012","In Progress","40.7246935849272","-73.99418063741794"
"70037771","2026-08-12T01:21:26.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70029488","2026-08-12T01:19:33.000",,"Noise","Dog","BRONX","10467","In Progress","40.870089456698615","-73.86620182770871"
"70028800","2026-08-12T01:19:25.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70034155","2026-08-12T01:18:24.000",,"Noise - Residential","Loud Music/Party","BROOKLYN","11233","In Progress","40.673224363058466","-73.91359885170718"
"70031785","2026-08-12T01:18:10.000",,"Noise - Residential","Loud Music/Party","BRONX","10456","In Progress","40.83694066292417","-73.90374441298103"
"70030358","2026-08-12T01:17:00.000","2026-08-12T01:47:22.000","Illegal Parking","Blocked Hydrant","QUEENS","11001","Closed","40.73726362745536","-73.7063566804247"
"70035140","2026-08-12T01:16:48.000",,"Street Sign - Damaged","St Name - Attached to Pole","STATEN ISLAND","10314","In Progress","40.61563457885383","-74.16153783263107"
"70036336","2026-08-12T01:16:19.000","2026-08-12T02:02:39.000","Noise - Commercial","Loud Music/Party","QUEENS","11433","Closed","40.699008824809404","-73.79304302924446"
"70028296","2026-08-12T01:15:55.000",,"Noise - Residential","Loud Music/Party","BROOKLYN","11205","In Progress","40.696230098102255","-73.97289904519619"
"70029843","2026-08-12T01:15:42.000",,"Consumer Complaint","Garage or Parking Lot","MANHATTAN","10036","In Progress","40.760652424498915","-73.99191419121037"
"70028994","2026-08-12T01:15:03.000",,"Noise - Residential","Banging/Pounding","MANHATTAN","10035","In Progress","40.803259152452306","-73.93824844593264"
"70028332","2026-08-12T01:14:56.000",,"Food Establishment","Rodents/Insects/Garbage","MANHATTAN","10003","In Progress","40.73217531256522","-73.98800997326474"
"70032552","2026-08-12T01:13:14.000",,"Noise - Street/Sidewalk","Loud Talking","BROOKLYN","11224","In Progress","40.574124815216116","-73.98381954817258"
"70032759","2026-08-12T01:13:07.000",,"Smoking or Vaping","Allowed in Smoke Free Area","BRONX","10461","In Progress","40.850984672254974","-73.85571803255091"
"70034190","2026-08-12T01:12:02.000","2026-08-12T02:06:20.000","Noise - Residential","Loud Television","BROOKLYN","11221","Closed","40.68757698683151","-73.92567404582309"
"70026580","2026-08-12T01:11:53.000",,"Noise","Construction Equipment","MANHATTAN","10018","In Progress","40.75532505148259","-73.9950189626292"
"70036455","2026-08-12T01:11:17.000","2026-08-12T02:02:39.000","Illegal Parking","Commercial Overnight Parking","QUEENS","11370","Closed","40.76878229171785","-73.89901250442533"
"70028874","2026-08-12T01:10:35.000",,"Abandoned Vehicle","With License Plate","QUEENS","11423","In Progress","40.72091783979872","-73.76193163527161"
"70032568","2026-08-12T01:10:22.000",,"Illegal Parking","Blocked Sidewalk","BROOKLYN","11204","In Progress","40.619568588917986","-73.9925112210687"
"70031930","2026-08-12T01:10:19.000","2026-08-12T01:35:10.000","Illegal Parking","Blocked Hydrant","QUEENS","11103","Closed","40.75997014422611","-73.91045056947908"
"70036143","2026-08-12T01:10:02.000",,"Homeless Person Assistance","Non-Chronic","MANHATTAN","10007","In Progress","40.71298700485343","-74.00868602851494"
"70037066","2026-08-12T01:09:05.000",,"Illegal Parking","Blocked Hydrant","BROOKLYN","11223","In Progress","40.60240932285499","-73.97965693117018"
"70035527","2026-08-12T01:08:21.000",,"Illegal Parking","Blocked Hydrant","BROOKLYN","11235","In Progress","40.588495693409605","-73.95838622625635"
"70032150","2026-08-12T01:08:02.000","2026-08-12T01:53:25.000","Illegal Parking","Blocked Sidewalk","QUEENS","11422","Closed","40.65569079155005","-73.7296052195069"
"70037878","2026-08-12T01:07:57.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11373","In Progress","40.73822411485469","-73.87313518384369"
"70027536","2026-08-12T01:07:15.000","2026-08-12T01:11:49.000","Illegal Parking","Posted Parking Sign Violation","QUEENS","11356","Closed","40.77829473595438","-73.84614109462238"
"70037830","2026-08-12T01:07:06.000",,"Noise - Street/Sidewalk","Loud Talking","QUEENS","11419","In Progress","40.68713780764145","-73.81233466124338"
"70034863","2026-08-12T01:06:41.000",,"Illegal Parking","Posted Parking Sign Violation","QUEENS","11373","In Progress","40.73861454340219","-73.87374789324592"
"70030523","2026-08-12T01:06:26.000",,"Noise - Vehicle","Car/Truck Horn","MANHATTAN","10033","In Progress","40.84429395207422","-73.93557193270345"
"70032712","2026-08-12T01:06:13.000","2026-08-12T01:18:40.000","Noise - Residential","Banging/Pounding","BROOKLYN","11216","Closed","40.683044837854396","-73.95012102555529"
"70028277","2026-08-12T01:06:06.000",,"Illegal Parking","Commercial Overnight Parking","BROOKLYN","11237","In Progress","40.70414684535729","-73.9134469667994"
"70036390","2026-08-12T01:05:45.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11101","In Progress","40.74575937638953","-73.95556325390015"
"70036464","2026-08-12T01:05:01.000","2026-08-12T01:50:24.000","Illegal Parking","Blocked Sidewalk","QUEENS","11102","Closed","40.768630645804016","-73.93170643569991"
"70028257","2026-08-12T01:04:50.000","2026-08-12T01:53:24.000","Illegal Parking","Blocked Hydrant","BROOKLYN","11208","Closed","40.68603366963854","-73.87681854478991"
"70037028","2026-08-12T01:04:43.000","2026-08-12T01:27:51.000","Noise - Vehicle","Car/Truck Music","BRONX","10468","Closed","40.872514269918","-73.89993608937225"
"70030162","2026-08-12T01:04:42.000",,"Homeless Person Assistance","Non-Chronic","MANHATTAN","10007","In Progress","40.71298700485343","-74.00868602851494"
"70030293","2026-08-12T01:04:08.000","2026-08-12T01:05:35.000","Noise - Residential","Banging/Pounding","BRONX","10456","Closed","40.8348474210791","-73.90491830085918"
"70033449","2026-08-12T01:04:07.000",,"Noise - Residential","Banging/Pounding","STATEN ISLAND","10305","In Progress","40.59597421974536","-74.06217919709624"
"70036531","2026-08-12T01:03:30.000",,"Noise - Commercial","Banging/Pounding","MANHATTAN","10031","In Progress","40.825420739892174","-73.9511741554799"
"70028900","2026-08-12T01:02:44.000","2026-08-12T01:11:48.000","Abandoned Vehicle","With License Plate","QUEENS","11356","Closed","40.77829473595438","-73.84614109462238"
"70032541","2026-08-12T01:01:52.000","2026-08-12T01:15:21.000","Animal-Abuse","Neglected","BRONX","10458","Closed","40.86502353420676","-73.89037015557815"
"70035710","2026-08-12T01:01:29.000","2026-08-12T01:59:33.000","Illegal Parking","Blocked Sidewalk","BROOKLYN","11206","Closed","40.69897469903972","-73.93244497317211"
"70032569","2026-08-12T01:01:20.000",,"Illegal Parking","Blocked Hydrant","BROOKLYN","11228","In Progress","40.611020888859414","-74.01229961786973"
"70026771","2026-08-12T01:00:56.000",,"Illegal Parking","Blocked Hydrant","BROOKLYN","11230","In Progress","40.62423941801511","-73.9612242135266"
"70034828","2026-08-12T01:00:24.000",,"Noise - Residential","Banging/Pounding","QUEENS","11365","In Progress","40.73781230075766","-73.78153404711799"
"70029496","2026-08-12T01:00:19.000",,"Noise","Private Garbage Truck","MANHATTAN","10006","In Progress","40.70773029611131","-74.01370610695912"
"70036466","2026-08-12T01:00:03.000",,"Illegal Parking","Parking Permit Improper Use","QUEENS","11369","In Progress","40.77027817215457","-73.87647137802608"
"70033674","2026-08-12T01:00:02.000",,"Street Condition","Pothole","BROOKLYN","11239","Open",,
"70036985","2026-08-12T00:59:50.000",,"Illegal Parking","Blocked Hydrant","BRONX","10461","In Progress","40.85068512402149","-73.83117174491237"
"70035694","2026-08-12T00:59:32.000","2026-08-12T01:57:15.000","Noise - Residential","Loud Music/Party","BROOKLYN","11206","Closed","40.69571514880267","-73.93960301874547"
"70026663","2026-08-12T00:59:16.000",,"Blocked Driveway","Partial Access","BRONX","10462","In Progress","40.84808130196539","-73.86523404047477"
"70030474","2026-08-12T00:59:14.000","2026-08-12T01:11:55.000","Noise - Vehicle","Car/Truck Music","STATEN ISLAND","10309","Closed","40.51730998855232","-74.19510472255989"
"70029122","2026-08-12T00:56:56.000",,"Illegal Dumping","Removal Request","STATEN ISLAND","10309","In Progress","40.54695113746312","-74.22095439361019"
"70028114","2026-08-12T00:56:23.000",,"Noise - Residential","Loud Music/Party","BRONX","10461","In Progress","40.85662979701842","-73.84056275855092"
"70031122","2026-08-12T00:55:37.000",,"Noise - Street/Sidewalk","Loud Music/Party","BROOKLYN","11218","In Progress","40.64512649981427","-73.97964751072021"
"70030165","2026-08-12T00:55:32.000",,"Homeless Person Assistance","Non-Chronic","MANHATTAN","10013","In Progress","40.716459431762694","-74.0023267359905"
"70028848","2026-08-12T00:55:27.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11385","In Progress","40.70222288301098","-73.87733683062822"
"70027666","2026-08-12T00:55:12.000",,"Maintenance or Facility","Structure - Indoors","MANHATTAN","10028","In Progress","40.77863290127972","-73.96254609596876"
"70030328","2026-08-12T00:54:59.000",,"Noise - Residential","Loud Music/Party","QUEENS","11432","In Progress","40.71135869519861","-73.78764096147795"
"70036314","2026-08-12T00:54:57.000",,"Blocked Driveway","No Access","QUEENS","11421","In Progress","40.688508259469494","-73.86129446162902"
"70026855","2026-08-12T00:54:35.000","2026-08-12T01:47:22.000","Illegal Parking","Blocked Hydrant","BROOKLYN","11208","Closed","40.6813495457732","-73.88597782087102"
"70026715","2026-08-12T00:54:23.000",,"Blocked Driveway","No Access","BROOKLYN","11214","In Progress","40.60549028402733","-74.01072841180698"
"70036331","2026-08-12T00:53:35.000",,"Noise - Residential","Loud Music/Party","QUEENS","11432","In Progress","40.711075417188006","-73.7888249802325"
"70032435","2026-08-12T00:53:31.000",,"Noise","Private Garbage Truck","MANHATTAN","10006","In Progress","40.70773029611131","-74.01370610695912"
"70033681","2026-08-12T00:53:22.000",,"Street Condition","Pothole","QUEENS","11433","Open",,
"70035605","2026-08-12T00:52:44.000",,"Blocked Driveway","Partial Access","BROOKLYN","11203","In Progress","40.66092940793976","-73.93733134038375"
"70032619","2026-08-12T00:52:08.000",,"Illegal Parking","Posted Parking Sign Violation","BROOKLYN","11220","In Progress","40.639304199616966","-74.02355032995669"
"70030167","2026-08-12T00:52:01.000",,"Homeless Person Assistance","Chronic","QUEENS",,"In Progress","40.70256524090623","-73.81686079306591"
"70033706","2026-08-12T00:52:00.000",,"Traffic Signal Condition","Base Door","BROOKLYN","11217","Open","40.686087314749976","-73.98266019075302"
"70030534","2026-08-12T00:51:58.000","2026-08-12T01:08:38.000","Blocked Driveway","No Access","BRONX","10455","Closed","40.82034233587608","-73.91650777421059"
"70038126","2026-08-12T00:51:39.000",,"Illegal Dumping","Chronic Dumping","BRONX","10461","In Progress","40.83854279536564","-73.84302746376763"
"70030988","2026-08-12T00:51:29.000","2026-08-12T01:44:26.000","Noise - Street/Sidewalk","Loud Music/Party","BRONX","10452","Closed","40.84414499529663","-73.92524249963296"
"70036965","2026-08-12T00:51:19.000","2026-08-12T01:11:48.000","Noise - Residential","Loud Music/Party","BRONX","10474","Closed","40.81328625821051","-73.88806745567732"
"70029634","2026-08-12T00:51:16.000",,"Noise - Residential","Banging/Pounding","BROOKLYN","11203","In Progress","40.655258820572485","-73.937570929446"
"70026652","2026-08-12T00:51:02.000","2026-08-12T01:50:25.000","Drinking","In Public","BRONX","10466","Closed","40.88626926350679","-73.83433990088295"
"70037226","2026-08-12T00:50:57.000","2026-08-12T01:05:30.000","Illegal Parking","Posted Parking Sign Violation","BROOKLYN","11205","Closed","40.69549460981024","-73.97336815125931"
"70033980","2026-08-12T00:50:41.000","2026-08-12T01:05:29.000","Noise - Residential","Loud Music/Party","BRONX","10452","Closed","40.83134260317883","-73.92788756492703"
"70029493","2026-08-12T00:50:39.000",,"Noise","Construction","MANHATTAN","10012","In Progress",,
"70033522","2026-08-12T00:50:19.000","2026-08-12T01:08:45.000","Blocked Driveway","No Access","BRONX","10455","Closed","40.81743872189368","-73.90287302853827"
"70031132","2026-08-12T00:50:17.000",,"Noise - Street/Sidewalk","Loud Music/Party","BROOKLYN","11212","In Progress","40.65806957373504","-73.91614141065929"
"70033997","2026-08-12T00:50:06.000","2026-08-12T01:11:57.000","Noise - Street/Sidewalk","Loud Music/Party","BRONX","10453","Closed","40.845749925937085","-73.92413470328373"
"70029516","2026-08-12T00:48:53.000",,"Illegal Parking","Posted Parking Sign Violation","BRONX","10473","In Progress","40.82228924680342","-73.85616685054431"
"70031935","2026-08-12T00:48:48.000",,"Noise - Residential","Loud Music/Party","QUEENS","11368","In Progress","40.75184259533948","-73.86979594528492"
"70029607","2026-08-12T00:47:37.000",,"Illegal Parking","Posted Parking Sign Violation","BROOKLYN","11223","In Progress","40.607462654155995","-73.98059176917052"
"70033248","2026-08-12T00:47:34.000",,"Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","MANHATTAN","10031","In Progress","40.823766207205516","-73.94620004763834"
"70032609","2026-08-12T00:47:34.000",,"Noise - Street/Sidewalk","Loud Music/Party","BROOKLYN","11212","In Progress","40.65805583932809","-73.91612701117995"
"70036422","2026-08-12T00:46:56.000",,"Illegal Parking","Posted Parking Sign Violation","QUEENS","11373","In Progress","40.73909743076647","-73.86866971719114"
"70028385","2026-08-12T00:46:39.000",,"Curb Condition","Defacement","QUEENS","11368","In Progress","40.7514312432059","-73.86770338983855"
"70028926","2026-08-12T00:46:16.000","2026-08-12T01:02:26.000","Noise - Residential","Loud Talking","QUEENS","11436","Closed","40.67328428100895","-73.78975216265518"
"70036349","2026-08-12T00:45:57.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11385","In Progress","40.70222288301098","-73.87733683062822"
"70033994","2026-08-12T00:45:42.000",,"Blocked Driveway","No Access","BRONX","10457","In Progress","40.85197123303616","-73.90114538468497"
"70036333","2026-08-12T00:45:38.000","2026-08-12T00:59:09.000","Noise - Residential","Loud Talking","QUEENS","11432","Closed","40.70775736225015","-73.79978598436149"
"70031897","2026-08-12T00:44:58.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11373","In Progress","40.739690584271635","-73.8689211503322"
"70037750","2026-08-12T00:44:46.000",,"Noise - Residential","Banging/Pounding","BROOKLYN","11224","In Progress","40.577619686746154","-73.99037761720334"
"70033324","2026-08-12T00:44:31.000","2026-08-12T00:51:13.000","Noise - Residential","Loud Music/Party","QUEENS","11433","Closed","40.69467897583762","-73.790784579517"
"70028047","2026-08-12T00:43:36.000",,"Noise","Jackhammer","MANHATTAN","10012","In Progress","40.725901389857825","-74.0028502044378"
"70032869","2026-08-12T00:43:36.000",,"Indoor Air Quality","Chemical Vapors/Gases/Odors","MANHATTAN","10027","In Progress","40.80485201023158","-73.9455109693611"
